state_code,date,common_date_id
CT,2022-04,2022-04CT
CT,2022-05,2022-05CT
CT,2022-06,2022-06CT
CT,2022-07,2022-07CT
CT,2022-08,2022-08CT
CT,2022-09,2022-09CT
CT,2022-10,2022-10CT
CT,2022-11,2022-11CT
CT,2022-12,2022-12CT
CT,2023-01,2023-01CT
CT,2023-02,2023-02CT
CT,2023-03,2023-03CT
CT,2023-04,2023-04CT
CT,2023-05,2023-05CT
CT,2023-06,2023-06CT
DE,2018-12,2018-12DE
DE,2019-01,2019-01DE
DE,2019-02,2019-02DE
DE,2019-03,2019-03DE
DE,2019-04,2019-04DE
DE,2019-05,2019-05DE
DE,2019-06,2019-06DE
DE,2019-07,2019-07DE
DE,2019-08,2019-08DE
DE,2019-09,2019-09DE
DE,2019-10,2019-10DE
DE,2019-11,2019-11DE
DE,2019-12,2019-12DE
DE,2020-01,2020-01DE
DE,2020-02,2020-02DE
DE,2020-03,2020-03DE
DE,2020-04,2020-04DE
DE,2020-05,2020-05DE
DE,2020-06,2020-06DE
DE,2020-07,2020-07DE
DE,2020-08,2020-08DE
DE,2020-09,2020-09DE
DE,2020-10,2020-10DE
DE,2020-11,2020-11DE
DE,2020-12,2020-12DE
DE,2021-01,2021-01DE
DE,2021-02,2021-02DE
DE,2021-03,2021-03DE
DE,2021-04,2021-04DE
DE,2021-05,2021-05DE
DE,2021-06,2021-06DE
DE,2021-07,2021-07DE
DE,2021-08,2021-08DE
DE,2021-09,2021-09DE
DE,2021-10,2021-10DE
DE,2021-11,2021-11DE
DE,2021-12,2021-12DE
DE,2022-01,2022-01DE
DE,2022-02,2022-02DE
DE,2022-03,2022-03DE
DE,2022-04,2022-04DE
DE,2022-05,2022-05DE
DE,2022-06,2022-06DE
DE,2022-07,2022-07DE
DE,2022-08,2022-08DE
DE,2022-09,2022-09DE
DE,2022-10,2022-10DE
DE,2022-11,2022-11DE
DE,2022-12,2022-12DE
DE,2023-01,2023-01DE
DE,2023-02,2023-02DE
DE,2023-03,2023-03DE
DE,2023-04,2023-04DE
DE,2023-05,2023-05DE
DE,2023-06,2023-06DE
FL,2018-12,2018-12FL
FL,2019-01,2019-01FL
FL,2019-02,2019-02FL
FL,2019-03,2019-03FL
FL,2019-04,2019-04FL
FL,2019-05,2019-05FL
FL,2019-06,2019-06FL
FL,2019-07,2019-07FL
FL,2019-08,2019-08FL
FL,2019-09,2019-09FL
FL,2019-10,2019-10FL
FL,2019-11,2019-11FL
FL,2019-12,2019-12FL
FL,2020-01,2020-01FL
FL,2020-02,2020-02FL
FL,2020-03,2020-03FL
FL,2020-04,2020-04FL
FL,2020-05,2020-05FL
FL,2020-06,2020-06FL
FL,2020-07,2020-07FL
FL,2020-08,2020-08FL
FL,2020-09,2020-09FL
FL,2020-10,2020-10FL
FL,2020-11,2020-11FL
FL,2020-12,2020-12FL
FL,2021-01,2021-01FL
FL,2021-02,2021-02FL
FL,2021-03,2021-03FL
FL,2021-04,2021-04FL
FL,2021-05,2021-05FL
FL,2021-06,2021-06FL
FL,2021-07,2021-07FL
FL,2021-08,2021-08FL
FL,2021-09,2021-09FL
FL,2021-10,2021-10FL
FL,2021-11,2021-11FL
FL,2021-12,2021-12FL
FL,2022-01,2022-01FL
FL,2022-02,2022-02FL
FL,2022-03,2022-03FL
FL,2022-04,2022-04FL
FL,2022-05,2022-05FL
FL,2022-06,2022-06FL
FL,2022-07,2022-07FL
FL,2022-08,2022-08FL
FL,2022-09,2022-09FL
FL,2022-10,2022-10FL
FL,2022-11,2022-11FL
FL,2022-12,2022-12FL
FL,2023-01,2023-01FL
FL,2023-02,2023-02FL
FL,2023-03,2023-03FL
FL,2023-04,2023-04FL
FL,2023-05,2023-05FL
FL,2023-06,2023-06FL
GA,2018-12,2018-12GA
GA,2019-01,2019-01GA
GA,2019-02,2019-02GA
GA,2019-03,2019-03GA
GA,2019-04,2019-04GA
GA,2019-05,2019-05GA
GA,2019-06,2019-06GA
GA,2019-07,2019-07GA
GA,2019-08,2019-08GA
GA,2019-09,2019-09GA
GA,2019-10,2019-10GA
GA,2019-11,2019-11GA
GA,2019-12,2019-12GA
GA,2020-01,2020-01GA
GA,2020-02,2020-02GA
GA,2020-03,2020-03GA
GA,2020-04,2020-04GA
GA,2020-05,2020-05GA
GA,2020-06,2020-06GA
GA,2020-07,2020-07GA
GA,2020-08,2020-08GA
GA,2020-09,2020-09GA
GA,2020-10,2020-10GA
GA,2020-11,2020-11GA
GA,2020-12,2020-12GA
GA,2021-01,2021-01GA
GA,2021-02,2021-02GA
GA,2021-03,2021-03GA
GA,2021-04,2021-04GA
GA,2021-05,2021-05GA
GA,2021-06,2021-06GA
GA,2021-07,2021-07GA
GA,2021-08,2021-08GA
GA,2021-09,2021-09GA
GA,2021-10,2021-10GA
GA,2021-11,2021-11GA
GA,2021-12,2021-12GA
GA,2022-01,2022-01GA
GA,2022-02,2022-02GA
GA,2022-03,2022-03GA
GA,2022-04,2022-04GA
GA,2022-05,2022-05GA
GA,2022-06,2022-06GA
GA,2022-07,2022-07GA
GA,2022-08,2022-08GA
GA,2022-09,2022-09GA
GA,2022-10,2022-10GA
GA,2022-11,2022-11GA
GA,2022-12,2022-12GA
GA,2023-01,2023-01GA
GA,2023-02,2023-02GA
GA,2023-03,2023-03GA
GA,2023-04,2023-04GA
GA,2023-05,2023-05GA
GA,2023-06,2023-06GA
HI,2018-12,2018-12HI
HI,2019-01,2019-01HI
HI,2019-02,2019-02HI
HI,2019-03,2019-03HI
HI,2019-04,2019-04HI
HI,2019-05,2019-05HI
HI,2019-06,2019-06HI
HI,2019-07,2019-07HI
HI,2019-08,2019-08HI
HI,2019-09,2019-09HI
HI,2019-10,2019-10HI
HI,2019-11,2019-11HI
HI,2019-12,2019-12HI
HI,2020-01,2020-01HI
HI,2020-02,2020-02HI
HI,2020-03,2020-03HI
HI,2020-04,2020-04HI
HI,2020-05,2020-05HI
HI,2020-06,2020-06HI
HI,2020-07,2020-07HI
HI,2020-08,2020-08HI
HI,2020-09,2020-09HI
HI,2020-10,2020-10HI
HI,2020-11,2020-11HI
HI,2020-12,2020-12HI
HI,2021-01,2021-01HI
HI,2021-02,2021-02HI
HI,2021-03,2021-03HI
HI,2021-04,2021-04HI
HI,2021-05,2021-05HI
HI,2021-06,2021-06HI
HI,2021-07,2021-07HI
